eval/mean_reward,step
0.10836134834897124,0
0.422543618868824,10000
0.5389705297514756,20000
0.569283978815856,30000
0.5983467869171385,40000
0.5680323519914361,50000
0.609072064137154,60000
0.6738162297289086,70000
